Date,Description,Amount,Transaction Type,Category,Account Name,Month
2018-01-01 00:00:00,Amazon,11.11,debit,Shopping,Platinum Card,2018-01
2018-01-02 00:00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-01
2018-01-02 00:00:00,Thai Restaurant,24.22,debit,Restaurants,Silver Card,2018-01
2018-01-03 00:00:00,Credit Card Payment,2298.09,credit,Credit Card Payment,Platinum Card,2018-01
2018-01-04 00:00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-01
2018-01-05 00:00:00,American Tavern,25.85,debit,Restaurants,Silver Card,2018-01
2018-01-06 00:00:00,Hardware Store,18.45,debit,Home Improvement,Silver Card,2018-01
2018-01-08 00:00:00,Gas Company,45,debit,Utilities,Checking,2018-01
2018-01-08 00:00:00,Hardware Store,15.38,debit,Home Improvement,Silver Card,2018-01
2018-01-09 00:00:00,Spotify,10.69,debit,Music,Platinum Card,2018-01
2018-01-10 00:00:00,Phone Company,89.46,debit,Mobile Phone,Checking,2018-01
2018-01-11 00:00:00,Shell,34.87,debit,Gas & Fuel,Platinum Card,2018-01
2018-01-11 00:00:00,Grocery Store,43.54,debit,Groceries,Platinum Card,2018-01
2018-01-12 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-01
2018-01-13 00:00:00,Pizza Place,32.91,debit,Fast Food,Platinum Card,2018-01
2018-01-13 00:00:00,Amazon,39.05,debit,Shopping,Platinum Card,2018-01
2018-01-15 00:00:00,Grocery Store,44.19,debit,Groceries,Silver Card,2018-01
2018-01-15 00:00:00,American Tavern,64.11,debit,Restaurants,Silver Card,2018-01
2018-01-16 00:00:00,City Water Charges,35,debit,Utilities,Checking,2018-01
2018-01-16 00:00:00,Power Company,60,debit,Utilities,Checking,2018-01
2018-01-19 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-01
2018-01-20 00:00:00,Amazon,50.21,debit,Shopping,Platinum Card,2018-01
2018-01-22 00:00:00,Credit Card Payment,554.99,credit,Credit Card Payment,Platinum Card,2018-01
2018-01-22 00:00:00,Credit Card Payment,309.81,credit,Credit Card Payment,Silver Card,2018-01
2018-01-22 00:00:00,Credit Card Payment,554.99,debit,Credit Card Payment,Checking,2018-01
2018-01-22 00:00:00,Hardware Store,17.38,debit,Home Improvement,Silver Card,2018-01
2018-01-23 00:00:00,Credit Card Payment,309.81,debit,Credit Card Payment,Checking,2018-01
2018-01-24 00:00:00,Starbucks,3,debit,Coffee Shops,Platinum Card,2018-01
2018-01-25 00:00:00,Internet Service Provider,69.99,debit,Internet,Checking,2018-01
2018-01-29 00:00:00,Shell,30.42,debit,Gas & Fuel,Silver Card,2018-01
2018-01-29 00:00:00,Thai Restaurant,25,debit,Restaurants,Silver Card,2018-01
2018-01-29 00:00:00,Brunch Restaurant,17.62,debit,Restaurants,Platinum Card,2018-01
2018-02-01 00:00:00,Grocery Store,27.79,debit,Groceries,Platinum Card,2018-02
2018-02-01 00:00:00,Amazon,11.11,debit,Shopping,Platinum Card,2018-02
2018-02-02 00:00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-02
2018-02-02 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-02
2018-02-03 00:00:00,Japanese Restaurant,57.02,debit,Restaurants,Platinum Card,2018-02
2018-02-04 00:00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-02
2018-02-05 00:00:00,Credit Card Payment,145.14,credit,Credit Card Payment,Platinum Card,2018-02
2018-02-06 00:00:00,Credit Card Payment,154.13,credit,Credit Card Payment,Silver Card,2018-02
2018-02-07 00:00:00,Credit Card Payment,154.13,debit,Credit Card Payment,Checking,2018-02
2018-02-07 00:00:00,Gas Company,65,debit,Utilities,Checking,2018-02
2018-02-09 00:00:00,Barbershop,30,debit,Haircut,Platinum Card,2018-02
2018-02-09 00:00:00,Spotify,10.69,debit,Music,Platinum Card,2018-02
2018-02-10 00:00:00,Bojangles,10.66,debit,Fast Food,Platinum Card,2018-02
